,field,date,total_precip,max_temp_5,min_temp_5,max_temp_10,min_temp_10,avg_moist,max_moist,avg_moist_10cm,max_moist_10cm,avg_cond_5cm,avg_cond_10cm
437,2,1/9/2018,13.40000029,7.599999905,6.400000095,6.900000095,6.099999905,0.418325288,0.428801119,0.440301966,0.448217273,0.340085575,0.335849091
1209,4,1/9/2018,12.00000025,7.800000191,6.599999905,7.5,6.5,0.476206758,0.480506778,0.437798201,0.454072148,0.208496921,0.194811228
9,1,1/10/2018,2.00000003,7.800000191,6,7.5,6.400000095,0.443051379,0.448422909,0.477402572,0.484974742,0.051967009,0.060138493
438,2,1/10/2018,3.800000057,7.400000095,6.199999809,6.900000095,5.900000095,0.424727164,0.432910174,0.438251495,0.449854791,0.335535869,0.327103512
1210,4,1/10/2018,3.400000051,7.800000191,6.400000095,7.5,6.5,0.476271739,0.479690909,0.431931785,0.446354389,0.211574629,0.194898996
10,1,1/11/2018,17.60000028,9.199999809,7.599999905,8.800000191,7.5,0.423259492,0.447805196,0.460060503,0.478374034,0.057404856,0.065368678
439,2,1/11/2018,17.60000032,9.300000191,7.400000095,8.5,6.900000095,0.428320629,0.43976748,0.447303204,0.453078568,0.337622675,0.337255237
1211,4,1/11/2018,17.80000027,9.5,7.800000191,8.899999619,7.5,0.483496167,0.488974363,0.444917791,0.461034656,0.215940455,0.198809375
11,1,1/12/2018,0.200000003,10,8.300000191,9.399999619,8.5,0.44032622,0.448422909,0.47162667,0.481317103,0.051219601,0.057795153
440,2,1/12/2018,0,10,8.300000191,9.100000381,7.900000095,0.43642094,0.441063195,0.43763467,0.445937425,0.318612405,0.319894145
1212,4,1/12/2018,1.00000003,9.899999619,8.5,9.399999619,8.300000191,0.480297376,0.486838251,0.435699933,0.448217273,0.216677691,0.199707162
12,1,1/13/2018,0,8.699999809,6.300000191,9,7.199999809,0.450264239,0.453873932,0.46369765,0.466949314,0.048830351,0.052198557
441,2,1/13/2018,0,8.800000191,6.900000095,8.600000381,7.099999905,0.424559695,0.435152262,0.43431628,0.435819298,0.306855316,0.307197675
1213,4,1/13/2018,0,8.899999619,7.099999905,9,7.400000095,0.475671102,0.476707727,0.427265241,0.430639088,0.215306883,0.197126844
13,1,1/14/2018,0,8,5.900000095,7.900000095,6.599999905,0.44551701,0.452679306,0.453822386,0.462723792,0.048022976,0.050965688
442,2,1/14/2018,0,8.100000381,6.400000095,7.599999905,6.5,0.413750044,0.426477104,0.435253864,0.439984143,0.302543243,0.302453595
1214,4,1/14/2018,0,8.100000381,6.5,7.800000191,6.699999809,0.475627643,0.476707727,0.427176356,0.429031909,0.216234428,0.194751736
14,1,1/15/2018,4.200000063,7.5,5,7.400000095,5.900000095,0.441447014,0.450261503,0.448053543,0.454467714,0.047759725,0.051068896
443,2,1/15/2018,4.00000006,7.599999905,6,7.199999809,6.199999809,0.413033655,0.426477104,0.431523701,0.449651033,0.301690291,0.301118749
1215,4,1/15/2018,3.600000069,7.5,5.800000191,7.400000095,6.199999809,0.475161945,0.479854524,0.426810443,0.438679963,0.214957062,0.193655109
15,1,1/16/2018,0,9.100000381,6.800000191,8.600000381,7.300000191,0.435242324,0.446146041,0.452287979,0.458366483,0.047911143,0.054881354
444,2,1/16/2018,0.200000003,8.600000381,6.900000095,8,6.800000191,0.428518737,0.438679963,0.439305521,0.450464427,0.307269411,0.311508369
1216,4,1/16/2018,0,8.699999809,7.099999905,8.300000191,7.099999905,0.479340756,0.48001793,0.435218185,0.441063195,0.220652785,0.197272569
16,1,1/17/2018,11.80000024,9.399999619,6.599999905,9,7.099999905,0.439800471,0.445519358,0.453367856,0.46457696,0.049842117,0.056444003
445,2,1/17/2018,8.800000176,9.199999809,6.599999905,8.5,6.599999905,0.43142683,0.437145591,0.438025983,0.464760929,0.303060485,0.305052384
1217,4,1/17/2018,8.800000206,9.399999619,6.900000095,9,7.099999905,0.481012368,0.490027279,0.436493543,0.466587037,0.221217715,0.198008537
17,1,1/18/2018,9.800000161,9.199999809,7,9,7.599999905,0.419376489,0.443836153,0.460486231,0.471046478,0.053333745,0.065843813
446,2,1/18/2018,9.200000122,9.100000381,7.400000095,8.5,7.5,0.430489158,0.440416604,0.453394374,0.46402362,0.300390598,0.309735663
1218,4,1/18/2018,10.40000007,9.199999809,7.400000095,9,7.699999809,0.487112056,0.491070271,0.452211694,0.461599946,0.2214727,0.200795233
18,1,1/19/2018,2.00000003,7.599999905,6.300000191,7.599999905,6.900000095,0.42190852,0.435597241,0.459162414,0.470695227,0.04807541,0.056903476
447,2,1/19/2018,4.000000075,7.900000095,6.699999809,7.5,6.800000191,0.432236067,0.445728511,0.446406876,0.457401484,0.286122697,0.294251452
1219,4,1/19/2018,5.400000095,7.900000095,6.699999809,7.599999905,6.900000095,0.486795914,0.491070271,0.445467776,0.45720771,0.215134557,0.199202781
19,1,1/20/2018,0.400000006,7.599999905,5.699999809,7.400000095,6.400000095,0.429693823,0.439550549,0.449921148,0.454467714,0.046915386,0.05146548
448,2,1/20/2018,0.400000006,7.800000191,6.400000095,7.400000095,6.5,0.437253252,0.441707283,0.435944144,0.438024074,0.278924382,0.284665579
1220,4,1/20/2018,0.200000003,7.800000191,6.300000191,7.5,6.5,0.481262553,0.483873606,0.434150327,0.436704636,0.217373567,0.196730286
20,1,1/21/2018,4.800000072,7.699999809,6.400000095,7.599999905,6.800000191,0.422309601,0.43976748,0.442902974,0.452279001,0.046628493,0.05242125
449,2,1/21/2018,10.20000021,7.599999905,6.5,7.300000191,6.599999905,0.430252651,0.439115822,0.446644325,0.467671007,0.279327191,0.28970675
1221,4,1/21/2018,9.000000149,7.599999905,6.5,7.300000191,6.699999809,0.481553937,0.490176886,0.440267489,0.456430018,0.209515515,0.195843795
21,1,1/22/2018,0.400000006,7.900000095,5.800000191,7.599999905,6.400000095,0.427314361,0.434258908,0.445415173,0.448011369,0.045764276,0.051909814
450,2,1/22/2018,1.000000015,8.100000381,6.400000095,7.5,6.400000095,0.434748681,0.445519358,0.443717345,0.453675508,0.275959703,0.283961347
1222,4,1/22/2018,1.600000024,8.100000381,6.300000191,7.800000191,6.5,0.482085727,0.485910296,0.440584398,0.446977794,0.209474191,0.197835201
22,1,1/23/2018,10.00000015,7.5,5.800000191,7.400000095,6.400000095,0.421959641,0.431778282,0.450974014,0.470870972,0.047786075,0.060739851
451,2,1/23/2018,13.00000022,7.5,6.199999809,7.099999905,6.199999809,0.434078783,0.441278189,0.451335019,0.462723792,0.27514774,0.28734421
1223,4,1/23/2018,15.00000022,7.5,6.300000191,7.300000191,6.300000191,0.486644404,0.492396772,0.450799661,0.461787879,0.208857957,0.199364355
23,1,1/24/2018,3.200000063,8.300000191,6.199999809,8.100000381,7.099999905,0.422296303,0.435597241,0.458366362,0.471046478,0.046184964,0.057600977
452,2,1/24/2018,7.600000128,8.199999809,6.800000191,7.800000191,6.900000095,0.433051073,0.442135274,0.45652389,0.462163001,0.273426005,0.286196766
1224,4,1/24/2018,9.000000134,8.199999809,6.599999905,7.900000095,6.900000095,0.488786183,0.491809219,0.456956597,0.461975574,0.213237655,0.203318364
24,1,1/25/2018,18.20000041,6.599999905,5.400000095,7,6.199999809,0.427736809,0.447392017,0.456653062,0.470519245,0.051323323,0.060538754
453,2,1/25/2018,13.4000001,7,5.599999905,6.900000095,5.800000191,0.436011919,0.444679946,0.455851812,0.464208305,0.263599393,0.276373575
1225,4,1/25/2018,14.20000027,7,5.5,6.900000095,5.800000191,0.48652123,0.49077329,0.456998483,0.466405511,0.213374397,0.201440061
25,1,1/26/2018,1.200000018,6.800000191,5,6.599999905,5.599999905,0.423914019,0.434034824,0.454653266,0.460087448,0.045693431,0.05258598
454,2,1/26/2018,1.600000024,6.900000095,5.400000095,6.599999905,5.5,0.439463125,0.450667113,0.442836237,0.455059141,0.256936053,0.269726203
1226,4,1/26/2018,3.800000072,6.699999809,5.300000191,6.5,5.5,0.484234893,0.489727467,0.451551127,0.464944631,0.212080844,0.200316855
26,1,1/27/2018,1.800000027,8.399999619,6,8.100000381,6.400000095,0.415862142,0.427875072,0.435041706,0.445519358,0.044586931,0.048384526
455,2,1/27/2018,3.800000072,8.5,6.400000095,7.900000095,6.300000191,0.433565876,0.439984143,0.447584697,0.454270065,0.260490398,0.274553699
1227,4,1/27/2018,5.40000008,8.5,6.199999809,8,6.199999809,0.48452507,0.48699218,0.455335863,0.461975574,0.209251076,0.203279662
27,1,1/28/2018,0,10.89999962,8.199999809,10.19999981,8.100000381,0.4324162,0.441063195,0.443564362,0.448628247,0.04424337,0.048535362
456,2,1/28/2018,0.400000006,10.89999962,8.300000191,9.600000381,7.800000191,0.445299285,0.455059141,0.441774876,0.449651033,0.26170841,0.273644794
1228,4,1/28/2018,0.200000003,10.80000019,8.300000191,10,8,0.484059751,0.484504104,0.448204481,0.452078432,0.208310367,0.206447746
28,1,1/29/2018,7.400000095,9.199999809,7.800000191,9.199999809,8.199999809,0.434755008,0.441063195,0.445815743,0.466223776,0.044917529,0.050565591
457,2,1/29/2018,5.200000077,9.600000381,8.300000191,9,8.100000381,0.444988066,0.450058281,0.442756514,0.469989836,0.257977202,0.270320155
1229,4,1/29/2018,5.40000011,9.899999619,8.5,9.5,8.5,0.485215123,0.495287299,0.446982927,0.463468045,0.206552866,0.2046834
29,1,1/30/2018,0.800000012,8.899999619,6.900000095,8.800000191,7.900000095,0.423089583,0.433360904,0.449921227,0.460656524,0.045165216,0.052769107
458,2,1/30/2018,1.200000018,9.600000381,8.100000381,9.100000381,8.100000381,0.446187318,0.458942443,0.450107994,0.467850804,0.259822831,0.272495444
1230,4,1/30/2018,1.000000015,9.300000191,8,9.199999809,8.199999809,0.486350265,0.491070271,0.451037267,0.45817399,0.204957187,0.205722891
30,1,1/31/2018,0,8.199999809,5.699999809,8,6.5,0.434359691,0.43933332,0.444330378,0.447805196,0.044001213,0.048488437
459,2,1/31/2018,0,8.5,6.400000095,8.199999809,6.699999809,0.450257194,0.454072148,0.437713335,0.43976748,0.253448552,0.260230154
1231,4,1/31/2018,0,8.399999619,6.5,8.199999809,6.900000095,0.482719198,0.483557075,0.444130056,0.445937425,0.202593879,0.202113419
31,1,2/1/2018,0.200000003,8.5,6.300000191,8.300000191,6.900000095,0.43801102,0.439115822,0.442818682,0.444047511,0.043486565,0.047904208
460,2,2/1/2018,0,8.899999619,6.900000095,8.399999619,7,0.447042975,0.448422909,0.436024991,0.437365621,0.253583262,0.258957896
1232,4,2/1/2018,0.200000003,8.800000191,6.900000095,8.399999619,7.099999905,0.482645867,0.483557075,0.442918345,0.443624496,0.203030472,0.200929267
32,1,2/2/2018,0,11.30000019,7.900000095,10.5,8.100000381,0.437523506,0.438898027,0.440539411,0.442135274,0.043241848,0.047996987
461,2,2/2/2018,0,11.60000038,8.300000191,10.5,8.100000381,0.444883908,0.446354389,0.43521787,0.436483711,0.256877352,0.261459843
1233,4,2/2/2018,0,11.30000019,8.199999809,10.5,8.100000381,0.481916617,0.483239681,0.441941632,0.442562163,0.202956929,0.201352147
33,1,2/3/2018,0,11.89999962,9.399999619,11.10000038,9.5,0.435898353,0.437585384,0.43797705,0.439115822,0.043213315,0.048168635
462,2,2/3/2018,0.600000009,11.60000038,9.100000381,10.60000038,8.899999619,0.435667135,0.443624496,0.434888399,0.437365621,0.255210509,0.259211724
1234,4,2/3/2018,0.600000009,11.60000038,9.399999619,10.89999962,9.199999809,0.479851138,0.480831563,0.440813046,0.441492856,0.203955276,0.200069862
34,1,2/4/2018,0,11.89999962,8.600000381,11,9,0.429102662,0.435819298,0.430492521,0.436704636,0.043010554,0.047990723
463,2,2/4/2018,0,11.5,8.100000381,10.60000038,8.199999809,0.432096467,0.440632403,0.434106949,0.437145591,0.252050302,0.257300728
1235,4,2/4/2018,0,11.5,8.600000381,10.89999962,8.800000191,0.47910998,0.479854524,0.4394438,0.440847933,0.203713031,0.199298967
35,1,2/5/2018,0,11.80000019,8.800000191,11.19999981,9.699999809,0.433144483,0.437365621,0.432610705,0.435152262,0.042707621,0.047985887
464,2,2/5/2018,0,12,9.100000381,10.80000019,9,0.437212759,0.438898027,0.431811244,0.433360904,0.251097609,0.256455573
1236,4,2/5/2018,0,11.60000038,9.199999809,11.30000019,9.199999809,0.477265102,0.478539407,0.436526006,0.438243002,0.203729497,0.199107644
36,1,2/6/2018,0,9.399999619,6.400000095,9.699999809,7.5,0.434673914,0.437365621,0.433687331,0.434706151,0.042376037,0.047171807
465,2,2/6/2018,0,10,6.900000095,9.300000191,7.400000095,0.427652693,0.434929371,0.429149952,0.431551039,0.244244215,0.249307992
1237,4,2/6/2018,0,9.600000381,7.099999905,9.800000191,7.699999809,0.474084211,0.475358367,0.432497848,0.433810472,0.201258453,0.195570294
37,1,2/7/2018,0,9.399999619,5.900000095,9.100000381,6.900000095,0.435202056,0.437145591,0.433164558,0.434482664,0.042253218,0.047189323
466,2,2/7/2018,0,9.699999809,6.300000191,8.899999619,6.699999809,0.420589849,0.432458311,0.428052757,0.431778282,0.241360618,0.247287619
1238,4,2/7/2018,0,9.5,6.300000191,9.300000191,6.900000095,0.472192588,0.473134339,0.430271257,0.431323469,0.199858431,0.194447065
38,1,2/8/2018,0,10.69999981,6.099999905,10,7,0.431884976,0.435819298,0.430105042,0.432910174,0.042275674,0.047270133
467,2,2/8/2018,0,11,6.5,9.800000191,6.800000191,0.420307235,0.429722458,0.427127427,0.429031909,0.240916752,0.249260119
1239,4,2/8/2018,0,11,6.800000191,10.39999962,7.099999905,0.470802259,0.47192052,0.427554869,0.429031909,0.199965023,0.194564895
39,1,2/9/2018,0,10.10000038,8.100000381,9.800000191,8.800000191,0.434515637,0.436262518,0.431034933,0.431778282,0.042111118,0.047196276
468,2,2/9/2018,0,9.699999809,8.100000381,9.199999809,8.199999809,0.426562803,0.428107023,0.425251287,0.426477104,0.238221593,0.246477707
1240,4,2/9/2018,0,10,8.399999619,9.800000191,8.699999809,0.467661812,0.469458312,0.424278204,0.426008731,0.19879107,0.194751117
40,1,2/10/2018,0,8.5,6,8.800000191,7.099999905,0.434623753,0.436262518,0.431199642,0.431778282,0.041762786,0.047053071
469,2,2/10/2018,0,8.600000381,6.699999809,8.300000191,7,0.424967419,0.425774097,0.422634546,0.423648894,0.232779912,0.242080091
1241,4,2/10/2018,0,8.800000191,6.900000095,8.800000191,7.400000095,0.463549554,0.465128124,0.420150772,0.42197907,0.195331037,0.191864159
41,1,2/11/2018,0.400000006,7.5,5.400000095,7.5,6.300000191,0.435303951,0.436704636,0.43117895,0.432005256,0.041657707,0.047214054
470,2,2/11/2018,0.600000009,7.400000095,5.699999809,7.199999809,6.099999905,0.411434014,0.423173308,0.422298818,0.425539166,0.229248007,0.242573102
1242,4,2/11/2018,0.800000012,7.400000095,5.699999809,7.5,6.300000191,0.460883741,0.463468045,0.417133469,0.419810325,0.192559266,0.189029439
42,1,2/12/2018,0,6.400000095,4.099999905,6.800000191,5.199999809,0.436049557,0.43976748,0.431647936,0.434258908,0.041210837,0.046980446
471,2,2/12/2018,0.200000003,6.699999809,4.599999905,6.5,5.099999905,0.413011676,0.422935069,0.421012559,0.425774097,0.225272764,0.239244196
1243,4,2/12/2018,0.200000003,6.400000095,4.300000191,6.699999809,5,0.458549272,0.461411774,0.414751099,0.416880101,0.18967799,0.186491749
43,1,2/13/2018,0,4.699999809,2.700000048,5.5,3.900000095,0.440507754,0.44277519,0.432379983,0.434258908,0.039850973,0.045431803
472,2,2/13/2018,0,5.699999809,3.200000048,5.400000095,3.900000095,0.419479408,0.42173934,0.41523874,0.418350756,0.218695383,0.236431242
1244,4,2/13/2018,0,5.5,3,6,3.900000095,0.451255463,0.454665124,0.410469384,0.412401021,0.186879758,0.185710998
44,1,2/14/2018,9.800000161,6.5,3.900000095,6.400000095,4.900000095,0.422666641,0.441921413,0.423887229,0.442135274,0.046407823,0.051365764
473,2,2/14/2018,6.600000143,7.599999905,4.400000095,6.900000095,4.699999809,0.421091053,0.441278189,0.436650433,0.447598755,0.233550644,0.253893412
1245,4,2/14/2018,7.800000191,7.199999809,4.599999905,7.099999905,5.099999905,0.46464786,0.472788692,0.419847339,0.422218531,0.192168871,0.189054199
45,1,2/15/2018,0,7.800000191,4.199999809,7.199999809,5,0.433126018,0.436704636,0.439291332,0.440632403,0.045610094,0.052057903
474,2,2/15/2018,0,8.699999809,5.099999905,7.599999905,5.199999809,0.438531977,0.439550549,0.429823185,0.430867523,0.237473301,0.253131883
1246,4,2/15/2018,0,8.199999809,5.300000191,7.900000095,5.5,0.465750696,0.466949314,0.422031854,0.422696531,0.19917851,0.191196815
46,1,2/16/2018,0.200000003,8,5.5,7.5,6.099999905,0.434884752,0.436925232,0.437607093,0.440200508,0.04545067,0.051554214
475,2,2/16/2018,0,8.100000381,5.900000095,7.400000095,5.900000095,0.436763097,0.438024074,0.426632345,0.427875072,0.238457962,0.252441324
1247,4,2/16/2018,0,7.900000095,6.099999905,7.5,6.300000191,0.464714492,0.465311319,0.42166923,0.422218531,0.198096147,0.191948234
47,1,2/17/2018,2.400000051,8.899999619,7.099999905,8.5,7.199999809,0.427054533,0.438024074,0.429166504,0.438243002,0.045471998,0.051859771
476,2,2/17/2018,0.600000009,9.300000191,7.199999809,8.5,7,0.429329543,0.436262518,0.426741413,0.434929371,0.240752515,0.25262374
1248,4,2/17/2018,2.200000033,9.100000381,7.300000191,8.600000381,7.300000191,0.465572672,0.468746275,0.423000365,0.426477104,0.196672031,0.193008287
48,1,2/18/2018,4.400000066,7.400000095,5.400000095,7.900000095,6.199999809,0.409695208,0.415150225,0.420398878,0.436041057,0.047722249,0.055284034
477,2,2/18/2018,3.800000057,7.800000191,5.900000095,7.599999905,6.300000191,0.416605642,0.435374886,0.43283438,0.442348868,0.237979943,0.250623801
1249,4,2/18/2018,4.200000063,7.5,5.699999809,7.699999809,6.099999905,0.471453455,0.476371765,0.42911976,0.432910174,0.206564097,0.193420792
49,1,2/19/2018,0.200000003,6.199999809,4.199999809,6.300000191,5.099999905,0.417730003,0.427875072,0.434146759,0.440416604,0.047727741,0.055843337
478,2,2/19/2018,0,5.900000095,4.699999809,6.199999809,5.099999905,0.441868175,0.449854791,0.433255074,0.440847933,0.236700609,0.249372973
1250,4,2/19/2018,0.200000003,5.800000191,4.599999905,6.099999905,5,0.471390651,0.473306805,0.430190674,0.432458311,0.208366491,0.194419674
50,1,2/20/2018,3.400000051,6,3.5,5.800000191,4.400000095,0.422584048,0.430181354,0.430734538,0.437585384,0.048349747,0.054916234
479,2,2/20/2018,5.200000122,5.900000095,3.799999952,5.599999905,4.199999809,0.442033783,0.447392017,0.431854849,0.462163001,0.235425733,0.247350217
1251,4,2/20/2018,4.800000131,5.5,3.799999952,5.400000095,4.300000191,0.470585582,0.480181098,0.430844129,0.45817399,0.205893773,0.192873875
51,1,2/21/2018,0,5.900000095,3.900000095,5.900000095,4.699999809,0.415085334,0.422218531,0.430183469,0.435374886,0.050226016,0.059226593
480,2,2/21/2018,0.600000009,5.699999809,4,5.5,4.400000095,0.43925199,0.455059141,0.453818768,0.462910235,0.237902661,0.256255053
1252,4,2/21/2018,0.600000009,5.5,3.799999952,5.5,4.300000191,0.477311736,0.480993629,0.445215822,0.454862267,0.214239147,0.202825174
52,1,2/22/2018,2.200000033,5.300000191,3.299999952,5.400000095,4.199999809,0.420581629,0.431323469,0.438150705,0.45720771,0.052862108,0.060700632
481,2,2/22/2018,5.600000098,4.699999809,3.400000095,4.900000095,3.700000048,0.436069897,0.458942443,0.454611546,0.466223776,0.23675571,0.253394617
1253,4,2/22/2018,6.000000119,4.400000095,3.099999905,4.900000095,3.299999952,0.481225302,0.485599279,0.448959792,0.458750695,0.221551293,0.201009058
53,1,2/23/2018,0,3.900000095,2.200000048,4.400000095,3.099999905,0.433574953,0.43976748,0.44238261,0.448628247,0.051948707,0.057747091
482,2,2/23/2018,0,4.099999905,2.299999952,4.099999905,2.900000095,0.451967447,0.456039637,0.440282845,0.446354389,0.233057437,0.249171593
1254,4,2/23/2018,0,3.700000048,2.200000048,3.799999952,2.799999952,0.475417817,0.478869528,0.437324909,0.442135274,0.218528077,0.197201973
54,1,2/24/2018,6.200000152,6.300000191,3.5,6,4,0.425838538,0.439984143,0.452453808,0.468924642,0.056935308,0.066593011
483,2,2/24/2018,3.800000057,6.699999809,3.599999905,5.900000095,3.799999952,0.442833047,0.460656524,0.455260578,0.465859532,0.240005125,0.257860246
1255,4,2/24/2018,4.40000008,6.099999905,3.400000095,5.800000191,3.599999905,0.480949948,0.484346807,0.445844419,0.455255777,0.222045203,0.203190525
55,1,2/25/2018,10.00000015,6.099999905,5,6,5.400000095,0.426717509,0.436041057,0.455611037,0.46402362,0.06835747,0.074667845
484,2,2/25/2018,20.40000053,6.300000191,5.199999809,5.800000191,5.099999905,0.438794437,0.45720771,0.46409664,0.472788692,0.242423154,0.2619926
1256,4,2/25/2018,20.20000039,6.099999905,5.099999905,5.900000095,5.199999809,0.488203897,0.492543161,0.460372926,0.476203412,0.231252597,0.209514781
56,1,2/26/2018,0,6.900000095,4.199999809,6.599999905,4.800000191,0.425263961,0.436041057,0.454253327,0.459133893,0.062514477,0.068083051
485,2,2/26/2018,1.600000024,7.400000095,4.099999905,6.5,4.400000095,0.444953193,0.46046707,0.458694704,0.470870972,0.241056459,0.258972297
1257,4,2/26/2018,0.800000012,6.699999809,4.099999905,6.699999809,4.400000095,0.483567654,0.489426821,0.450896232,0.459516078,0.232381367,0.209515733
57,1,2/27/2018,0,6.300000191,3.099999905,5.800000191,4,0.434404121,0.436041057,0.44610213,0.451273561,0.060331102,0.060927237
486,2,2/27/2018,0,6.400000095,3.400000095,5.699999809,3.700000048,0.454050049,0.456624836,0.442259638,0.444469422,0.237464967,0.251699449
1258,4,2/27/2018,0,5.800000191,3.5,5.599999905,3.900000095,0.477783042,0.478869528,0.440818003,0.44277519,0.230279871,0.205740667
58,1,2/28/2018,6.40000011,6.599999905,4.900000095,6.400000095,5.300000191,0.42210532,0.435374886,0.436325709,0.457594991,0.061700848,0.063018296
487,2,2/28/2018,8.600000128,6.599999905,5,6.099999905,4.900000095,0.432643185,0.453078568,0.451521144,0.471571624,0.241415364,0.255588509
1259,4,2/28/2018,9.600000143,6.400000095,5,6.099999905,5,0.480828168,0.49077329,0.447872622,0.465859532,0.231797539,0.208670088
59,1,3/1/2018,3.200000048,7.099999905,5.300000191,6.800000191,5.699999809,0.420986685,0.42926237,0.456406291,0.459516078,0.06817445,0.074571292
488,2,3/1/2018,3.400000036,6.900000095,5.300000191,6.400000095,5.300000191,0.441225589,0.460845709,0.465354948,0.471396804,0.245052366,0.262429201
1260,4,3/1/2018,3.600000069,6.5,5.300000191,6.300000191,5.400000095,0.486966811,0.490326285,0.458081002,0.465128124,0.242373615,0.216011881
60,1,3/2/2018,0.200000003,6.900000095,4.400000095,6.599999905,5.099999905,0.423547504,0.428107023,0.443141204,0.459133893,0.063165554,0.062679621
489,2,3/2/2018,0.800000012,7.400000095,4.699999809,6.599999905,4.900000095,0.459569912,0.460656524,0.449377124,0.460087448,0.244228157,0.258821929
1261,4,3/2/2018,0,6.800000191,4.599999905,6.599999905,4.800000191,0.48271765,0.484661192,0.445524938,0.450667113,0.238489598,0.212489918
61,1,3/3/2018,0.600000009,7,4.099999905,6.800000191,5,0.424521196,0.427642822,0.432098547,0.433585852,0.061884943,0.059359548
490,2,3/3/2018,2.800000042,6.5,4.400000095,6.099999905,4.699999809,0.442199518,0.45720771,0.446914909,0.457981259,0.240880001,0.253876927
1262,4,3/3/2018,4.00000006,6.400000095,4.300000191,6.099999905,4.800000191,0.481320551,0.485131204,0.445539391,0.454862267,0.235359582,0.212138385
62,1,3/4/2018,0,7.699999809,4.099999905,7.099999905,4.900000095,0.428451088,0.432231903,0.432708105,0.434482664,0.061335067,0.058627383
491,2,3/4/2018,0.200000003,8.300000191,4.699999809,7.300000191,4.800000191,0.444544788,0.46046707,0.451990197,0.458942443,0.243802472,0.258151757
1263,4,3/4/2018,0.200000003,7.300000191,4.400000095,6.900000095,4.699999809,0.484604528,0.486838251,0.44940857,0.453476787,0.235034305,0.214028993
63,1,3/5/2018,0,7.699999809,4.199999809,7.5,5,0.431569263,0.433810472,0.433281879,0.434482664,0.06030441,0.057710086
492,2,3/5/2018,0,9.100000381,4.400000095,7.800000191,4.699999809,0.453558389,0.45720771,0.444530897,0.446977794,0.243736403,0.252612874
