Site,Date,Cover,Crop,Growth
L011,5/11/2015,tall fescue,HAYP,peak
L011,7/6/2015,tall fescue,HAYP,grass harvest
L011,1/1/2016,tall fescue,HAYP,emergence
L011,5/16/2016,tall fescue,HAYP,peak
L011,7/5/2016,tall fescue,HAYP,grass harvest
L011,1/1/2017,tall fescue,HAYP,emergence
L011,5/15/2017,tall fescue,HAYP,peak
L011,7/5/2017,tall fescue,HAYP,grass harvest
L011,12/31/2017,tall fescue,HAYP,
L012,1/1/2014,hazelnut,HZLN,
L012,3/1/2014,hazelnut,HZLN,emergence
L012,7/15/2014,hazelnut,HZLN,peak
L012,9/22/2014,hazelnut,HZLN,harvest
L012,1/28/2015,hazelnut,HZLN,emergence
L012,7/15/2015,hazelnut,HZLN,peak
L012,9/21/2015,hazelnut,HZLN,harvest
L012,3/1/2016,hazelnut,HZLN,emergence
L012,6/15/2016,hazelnut,HZLN,peak
L012,8/27/2016,hazelnut,HZLN,harvest
L012,3/1/2017,hazelnut,HZLN,emergence
L012,6/15/2017,hazelnut,HZLN,peak
L012,8/25/2017,hazelnut,HZLN,harvest
L012,12/31/2017,hazelnut,HZLN,
L013,1/1/2014,bare,BARE,
L013,4/14/2014,spinach,BARE,planted
L013,4/28/2014,spinach,SPNC,emergence
L013,5/30/2014,spinach,SPNC,peak
L013,7/28/2014,bare,BARE,harvest
L013,9/1/2014,cabbage,BARE,planted
L013,9/15/2014,cabbage,CABBAGE,emergence
L013,4/27/2015,cabbage,CABBAGE,peak
L013,6/29/2015,bare,BARE,harvest
L013,10/5/2015,wheat,BARE,planted
L013,10/19/2015,wheat,WGRN,emergence
L013,1/5/2016,wheat,WGRN,peak
L013,2/16/2016,wheat,WGRN,harvest
L013,2/29/2016,beet seed,BARE,planted
L013,3/14/2016,beet seed,BEET,emergence
L013,6/6/2016,beet seed,BEET,peak
L013,9/2/2016,bare,BARE,harvest
L013,10/25/2016,wheat,BARE,planted
L013,11/8/2016,wheat,WGRN,emergence
L013,5/5/2017,wheat,WGRN,peak
L013,7/1/2017,bare,BARE,harvest
L013,12/31/2017,bare,BARE,
L014,1/1/2014,bare,BARE,
L014,3/10/2014,beet seed,BARE,planted
L014,3/24/2014,beet seed,BEET,emergence
L014,7/1/2014,beet seed,BEET,peak
L014,9/2/2014,bare,BARE,harvest
L014,2/1/2015,wheat,BARE,planted
L014,2/15/2015,wheat,WGRN,emergence
L014,5/20/2015,wheat,WGRN,peak
L014,7/27/2015,bare,BARE,harvest
L014,10/1/2015,fallow,BARE,
L014,10/25/2016,wheat,BARE,planted
L014,11/8/2016,wheat,WGRN,emergence
L014,5/5/2017,wheat,WGRN,peak
L014,7/1/2017,bare,BARE,harvest
L014,12/31/2017,bare,BARE,
L015,1/1/2014,perennial rye grass,HAYP,emergence
L015,5/1/2014,perennial rye grass,HAYP,peak
L015,7/7/2014,perennial rye grass,HAYP,grass harvest
L015,1/1/2015,perennial rye grass,HAYP,emergence
L015,5/1/2015,perennial rye grass,HAYP,peak
L015,7/6/2015,perennial rye grass,HAYP,grass harvest
L015,1/1/2016,perennial rye grass,HAYP,emergence
L015,5/16/2016,perennial rye grass,HAYP,peak
L015,7/5/2016,perennial rye grass,HAYP,grass harvest
L015,12/31/2017,perennial rye grass,HAYP,
L016,1/1/2014,bare,BARE,
L016,2/28/2014,peppermint,PPMT,emergence
L016,6/20/2015,peppermint,PPMT,peak
L016,8/30/2015,peppermint,PPMT,ppmt harvest
L016,2/15/2016,peppermint,PPMT,emergence
L016,7/10/2016,peppermint,PPMT,peak
L016,8/14/2016,peppermint,PPMT,ppmt harvest
L016,10/15/2016,tall fescue,HAYP,emergence
L016,5/20/2017,tall fescue,HAYP,peak
L016,7/4/2017,tall fescue,HAYP,grass harvest
L016,12/31/2017,tall fescue,HAYP,
L017,1/1/2014,Grassy field,HAYP,
L017,1/11/2015,Grassy field,HAYP,
L017,9/28/2015,bare,BARE,burned
L017,10/31/2015,Grassy field,HAYP,
L017,12/31/2017,Grassy field,HAYP,
