AgriMet is excited to announce a partnership with Washington State University to incorporate AgriMet data into WSU's Irrigation Scheduler. To customize crop consumptive water use specific to your field or fields. http://weather.wsu.edu/is/
                         CRVO - ET SUMMARY - 2015 
                                                                                                                                                 
 DATE ETr  ALFP ALFM LAWN GRSD BLUB WGRN SGRN TBER POTA POTA POTA FCRN FCRN FCRN WGRP APPL POP1 POP2 POP3 SBRY PPMT PEAS SQSH BETS CBBG SPNC HZLN 
 04/01 0.06 0.06 0.05 0.05 0.06 0.04 0.06 0.05 0.02 0.02  --   --  0.02  --   --  0.01 0.02  --   --   --  0.05 0.02 0.02  --  0.02  --  0.02 0.02
 04/02 0.10 0.10 0.09 0.08 0.10 0.07 0.10 0.08 0.04 0.03  --   --  0.03  --   --  0.02 0.04  --   --   --  0.08 0.04 0.03  --  0.03  --  0.03 0.04
 04/03 0.05 0.05 0.04 0.04 0.05 0.04 0.05 0.04 0.02 0.02  --   --  0.02  --   --  0.01 0.02  --   --   --  0.04 0.02 0.01  --  0.01  --  0.02 0.02
 04/04 0.09 0.09 0.08 0.07 0.09 0.07 0.09 0.08 0.04 0.03  --   --  0.03  --   --  0.02 0.04  --   --   --  0.08 0.04 0.03  --  0.03  --  0.03 0.04
 04/05 0.07 0.07 0.06 0.06 0.07 0.06 0.07 0.06 0.03 0.02 0.02  --  0.02  --   --  0.01 0.03 0.01 0.01 0.01 0.06 0.03 0.02  --  0.02  --  0.02 0.03
 04/06 0.08 0.08 0.07 0.06 0.08 0.07 0.08 0.07 0.04 0.03 0.02  --  0.02  --   --  0.02 0.04 0.01 0.01 0.01 0.07 0.04 0.03  --  0.02  --  0.03 0.04
 04/07 0.07 0.07 0.06 0.06 0.07 0.06 0.07 0.06 0.03 0.03 0.02  --  0.02  --   --  0.01 0.04 0.01 0.01 0.01 0.06 0.03 0.02  --  0.02  --  0.03 0.04
 04/08 0.07 0.07 0.06 0.06 0.07 0.07 0.07 0.06 0.04 0.03 0.02  --  0.02  --   --  0.02 0.04 0.01 0.01 0.01 0.07 0.03 0.02  --  0.02  --  0.03 0.04
 04/09 0.13 0.13 0.11 0.10 0.13 0.13 0.13 0.12 0.07 0.05 0.04  --  0.04  --   --  0.03 0.07 0.02 0.03 0.03 0.12 0.06 0.05  --  0.04  --  0.05 0.07
 04/10 0.12 0.12 0.10 0.10 0.12 0.12 0.12 0.11 0.07 0.05 0.04  --  0.04 0.04  --  0.03 0.07 0.02 0.03 0.03 0.11 0.06 0.04  --  0.04  --  0.05 0.07
 04/11 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.10 0.06 0.04 0.03  --  0.03 0.03  --  0.03 0.07 0.02 0.02 0.03 0.10 0.06 0.04  --  0.03  --  0.05 0.07
 04/12 0.12 0.12 0.10 0.10 0.12 0.12 0.12 0.11 0.07 0.05 0.04  --  0.04 0.04  --  0.03 0.08 0.02 0.03 0.03 0.11 0.06 0.05  --  0.04  --  0.05 0.08
 04/13 0.07 0.07 0.06 0.06 0.07 0.07 0.07 0.07 0.04 0.03 0.02  --  0.02 0.02  --  0.02 0.05 0.01 0.02 0.02 0.07 0.04 0.03  --  0.02  --  0.03 0.05
 04/14 0.07 0.07 0.06 0.06 0.07 0.07 0.07 0.07 0.04 0.03 0.02  --  0.02 0.02  --  0.02 0.05 0.01 0.02 0.02 0.07 0.04 0.03  --  0.02  --  0.03 0.05
 04/15 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.11 0.07 0.05 0.04  --  0.04 0.03  --  0.03 0.08 0.02 0.03 0.04 0.10 0.06 0.05  --  0.04 0.02 0.05 0.08
 04/16 0.19 0.19 0.16 0.15 0.18 0.19 0.19 0.18 0.13 0.09 0.06  --  0.06 0.06  --  0.06 0.14 0.04 0.05 0.07 0.18 0.11 0.09  --  0.06 0.03 0.09 0.14
 04/17 0.17 0.17 0.14 0.14 0.16 0.17 0.17 0.17 0.12 0.08 0.06  --  0.06 0.05  --  0.06 0.13 0.04 0.05 0.06 0.16 0.11 0.08  --  0.06 0.03 0.09 0.13
 04/18 0.23 0.23 0.20 0.18 0.22 0.23 0.23 0.23 0.17 0.11 0.08  --  0.08 0.07  --  0.08 0.18 0.05 0.07 0.09 0.22 0.15 0.11  --  0.08 0.04 0.12 0.18
 04/19 0.22 0.22 0.19 0.18 0.21 0.22 0.22 0.22 0.16 0.11 0.08  --  0.08 0.07  --  0.08 0.17 0.05 0.07 0.09 0.21 0.14 0.11  --  0.08 0.05 0.12 0.18
 04/20 0.17 0.17 0.14 0.14 0.16 0.17 0.17 0.17 0.13 0.09 0.06 0.05 0.06 0.05  --  0.06 0.13 0.04 0.06 0.07 0.16 0.11 0.09  --  0.06 0.04 0.10 0.14
 04/21 0.12 0.12 0.10 0.10 0.12 0.12 0.12 0.12 0.09 0.06 0.04 0.04 0.04 0.04  --  0.05 0.10 0.03 0.04 0.05 0.11 0.08 0.07  --  0.05 0.03 0.07 0.10
 04/22 0.14 0.14 0.12 0.11 0.14 0.14 0.14 0.14 0.11 0.07 0.05 0.04 0.05 0.04  --  0.06 0.11 0.03 0.05 0.07 0.13 0.10 0.08  --  0.06 0.04 0.08 0.12
 04/23 0.08 0.08 0.07 0.06 0.08 0.08 0.08 0.08 0.06 0.04 0.03 0.02 0.03 0.02  --  0.03 0.07 0.02 0.03 0.04 0.08 0.06 0.05  --  0.03 0.02 0.05 0.07
 04/24 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.11 0.09 0.06 0.04 0.03 0.04 0.03  --  0.05 0.09 0.03 0.04 0.06 0.10 0.08 0.07  --  0.05 0.03 0.07 0.10
 04/25 0.11 0.11 0.09 0.09 0.11 0.11 0.11 0.11 0.09 0.06 0.04 0.03 0.04 0.03 0.03 0.05 0.09 0.03 0.04 0.06 0.10 0.08 0.07 0.02 0.05 0.03 0.07 0.10
 04/26 0.08 0.08 0.07 0.06 0.08 0.08 0.08 0.08 0.07 0.05 0.03 0.02 0.03 0.03 0.02 0.04 0.07 0.02 0.03 0.04 0.08 0.06 0.05 0.01 0.03 0.03 0.05 0.07
 04/27 0.17 0.17 0.14 0.14 0.16 0.17 0.17 0.17 0.15 0.10 0.07 0.05 0.06 0.05 0.05 0.09 0.15 0.05 0.07 0.10 0.16 0.13 0.12 0.03 0.08 0.06 0.12 0.16
 04/28 0.09 0.09 0.08 0.07 0.09 0.09 0.09 0.09 0.08 0.05 0.04 0.03 0.03 0.03 0.03 0.05 0.08 0.03 0.04 0.05 0.09 0.07 0.06 0.02 0.04 0.03 0.06 0.09
 04/29 0.13 0.13 0.11 0.10 0.13 0.13 0.13 0.13 0.12 0.08 0.06 0.04 0.05 0.04 0.04 0.07 0.12 0.04 0.06 0.08 0.12 0.10 0.10 0.02 0.06 0.05 0.09 0.13
 04/30 0.18 0.18 0.15 0.14 0.17 0.18 0.18 0.18 0.17 0.11 0.08 0.06 0.07 0.06 0.05 0.10 0.16 0.05 0.08 0.11 0.17 0.14 0.14 0.03 0.09 0.06 0.13 0.18
 05/01 0.21 0.21 0.18 0.17 0.20 0.21 0.21 0.21 0.20 0.14 0.10 0.07 0.08 0.07 0.06 0.12 0.19 0.06 0.10 0.13 0.20 0.17 0.17 0.04 0.10 0.08 0.16 0.21
 05/02 0.21 0.21 0.18 0.17 0.20 0.21 0.21 0.21 0.20 0.14 0.10 0.07 0.09 0.07 0.06 0.12 0.19 0.06 0.10 0.14 0.20 0.17 0.17 0.04 0.10 0.08 0.16 0.21
 05/03 0.20 0.20 0.17 0.16 0.19 0.20 0.20 0.20 0.19 0.13 0.10 0.07 0.09 0.07 0.06 0.12 0.19 0.06 0.10 0.14 0.19 0.16 0.17 0.04 0.10 0.07 0.15 0.20
 05/04 0.15 0.15 0.13 0.12 0.14 0.15 0.15 0.15 0.15 0.10 0.08 0.05 0.07 0.05 0.05 0.09 0.14 0.05 0.08 0.11 0.14 0.12 0.13 0.03 0.08 0.06 0.12 0.15
 05/05 0.15 0.15 0.13 0.12 0.14 0.15 0.15 0.15 0.15 0.10 0.08 0.05 0.07 0.05 0.05 0.09 0.14 0.05 0.08 0.11 0.14 0.13 0.13 0.03 0.08 0.06 0.12 0.15
 05/06 0.14 0.14 0.12 0.11 0.13 0.14 0.14 0.14 0.14 0.10 0.08 0.05 0.06 0.05 0.04 0.09 0.13 0.05 0.07 0.10 0.13 0.12 0.13 0.03 0.08 0.05 0.11 0.14
 05/07 0.21 0.21 0.18 0.17 0.20 0.21 0.21 0.21 0.21 0.15 0.12 0.08 0.10 0.07 0.07 0.14 0.20 0.07 0.11 0.16 0.20 0.18 0.19 0.04 0.12 0.08 0.17 0.22
 05/08 0.28 0.28 0.24 0.22 0.27 0.28 0.28 0.28 0.28 0.21 0.16 0.11 0.14 0.10 0.09 0.18 0.27 0.09 0.16 0.22 0.27 0.24 0.26 0.06 0.16 0.12 0.23 0.29
 05/09 0.24 0.24 0.20 0.19 0.23 0.24 0.24 0.24 0.24 0.18 0.14 0.09 0.12 0.09 0.08 0.16 0.23 0.08 0.14 0.19 0.23 0.21 0.23 0.05 0.14 0.10 0.20 0.25
 05/10 0.18 0.18 0.15 0.14 0.17 0.18 0.18 0.18 0.18 0.14 0.11 0.07 0.09 0.07 0.06 0.12 0.17 0.06 0.10 0.15 0.17 0.16 0.17 0.04 0.10 0.08 0.15 0.19
 05/11 0.06 0.06 0.05 0.05 0.06 0.06 0.06 0.06 0.06 0.05 0.04 0.03 0.03 0.02 0.02 0.04 0.06 0.02 0.04 0.05 0.06 0.05 0.06 0.01 0.04 0.03 0.05 0.06
 05/12 0.07 0.07 0.06 0.06 0.07 0.07 0.07 0.07 0.07 0.06 0.04 0.03 0.04 0.03 0.02 0.05 0.07 0.02 0.04 0.06 0.07 0.06 0.07 0.02 0.04 0.03 0.06 0.07
 05/13 0.13 0.13 0.11 0.10 0.12 0.13 0.13 0.13 0.13 0.10 0.08 0.06 0.07 0.05 0.04 0.08 0.12 0.05 0.08 0.11 0.12 0.12 0.13 0.03 0.08 0.06 0.11 0.14
 05/14 0.16 0.16 0.14 0.13 0.15 0.16 0.16 0.16 0.16 0.13 0.10 0.07 0.09 0.06 0.05 0.10 0.15 0.06 0.10 0.14 0.15 0.14 0.16 0.04 0.10 0.08 0.14 0.17
 05/15 0.08 0.08 0.07 0.06 0.07 0.08 0.08 0.08 0.08 0.07 0.05 0.04 0.04 0.03 0.03 0.05 0.08 0.03 0.05 0.07 0.08 0.07 0.08 0.02 0.05 0.04 0.07 0.08
 05/16 0.08 0.08 0.07 0.06 0.07 0.08 0.08 0.08 0.08 0.07 0.05 0.04 0.05 0.03 0.03 0.05 0.08 0.03 0.05 0.07 0.08 0.07 0.08 0.02 0.05 0.04 0.07 0.08
 05/17 0.19 0.19 0.16 0.15 0.17 0.19 0.19 0.19 0.19 0.16 0.13 0.10 0.11 0.08 0.06 0.12 0.18 0.07 0.13 0.18 0.18 0.17 0.19 0.05 0.12 0.10 0.17 0.20
 05/18 0.19 0.19 0.16 0.15 0.17 0.19 0.19 0.19 0.19 0.16 0.13 0.10 0.11 0.08 0.07 0.12 0.18 0.07 0.13 0.18 0.18 0.17 0.19 0.06 0.13 0.10 0.17 0.20
 05/19 0.08 0.08 0.07 0.06 0.07 0.08 0.08 0.08 0.08 0.07 0.06 0.04 0.05 0.04 0.03 0.05 0.08 0.03 0.06 0.08 0.08 0.07 0.08 0.02 0.05 0.04 0.07 0.09
 05/20 0.14 0.14 0.12 0.11 0.13 0.14 0.14 0.14 0.14 0.12 0.10 0.08 0.09 0.07 0.05 0.09 0.13 0.06 0.10 0.14 0.13 0.13 0.14 0.04 0.10 0.08 0.13 0.15
 05/21 0.15 0.15 0.13 0.12 0.13 0.15 0.15 0.15 0.15 0.13 0.11 0.09 0.09 0.07 0.05 0.10 0.14 0.06 0.11 0.15 0.14 0.14 0.15 0.05 0.11 0.09 0.14 0.16
 05/22 0.10 0.10 0.09 0.08 0.09 0.10 0.10 0.10 0.10 0.09 0.08 0.06 0.06 0.05 0.04 0.07 0.10 0.04 0.07 0.10 0.10 0.09 0.10 0.03 0.07 0.06 0.09 0.11
 05/23 0.09 0.09 0.08 0.07 0.08 0.09 0.09 0.09 0.09 0.08 0.07 0.05 0.06 0.05 0.03 0.06 0.09 0.04 0.06 0.09 0.09 0.08 0.09 0.03 0.07 0.06 0.08 0.10
 05/24 0.14 0.14 0.12 0.11 0.12 0.14 0.14 0.14 0.14 0.12 0.11 0.09 0.09 0.07 0.05 0.09 0.13 0.06 0.10 0.14 0.13 0.13 0.14 0.05 0.10 0.09 0.13 0.15
 05/25 0.15 0.15 0.13 0.12 0.13 0.15 0.15 0.15 0.15 0.13 0.12 0.09 0.10 0.08 0.06 0.10 0.14 0.06 0.11 0.15 0.14 0.14 0.15 0.06 0.11 0.10 0.14 0.16
 05/26 0.16 0.16 0.14 0.13 0.13 0.16 0.16 0.16 0.16 0.14 0.13 0.10 0.11 0.09 0.06 0.10 0.15 0.07 0.11 0.16 0.15 0.15 0.15 0.06 0.12 0.11 0.14 0.17
 05/27 0.21 0.21 0.18 0.17 0.17 0.21 0.21 0.21 0.21 0.19 0.17 0.14 0.14 0.12 0.08 0.14 0.20 0.09 0.15 0.21 0.20 0.20 0.20 0.09 0.16 0.14 0.19 0.23
 05/28 0.24 0.24 0.20 0.19 0.19 0.24 0.24 0.24 0.24 0.22 0.20 0.16 0.17 0.13 0.10 0.16 0.23 0.10 0.17 0.24 0.23 0.23 0.22 0.10 0.19 0.17 0.22 0.26
 05/29 0.20 0.20 0.17 0.16 0.16 0.20 0.20 0.20 0.20 0.18 0.17 0.14 0.14 0.11 0.08 0.13 0.19 0.08 0.14 0.20 0.19 0.19 0.18 0.09 0.16 0.14 0.18 0.22
 05/30 0.17 0.17 0.14 0.14 0.12 0.17 0.17 0.17 0.17 0.15 0.14 0.12 0.12 0.10 0.07 0.11 0.16 0.07 0.12 0.17 0.16 0.16 0.15 0.08 0.14 0.12 0.15 0.19
 05/31 0.25 0.25 0.21 0.20 0.17 0.25 0.25 0.25 0.24 0.23 0.21 0.18 0.18 0.15 0.11 0.16 0.24 0.11 0.18 0.25 0.24 0.24 0.21 0.12 0.21 0.19 0.22 0.27
 06/01 0.08 0.08 0.07 0.06 0.05 0.08 0.08 0.08 0.08 0.07 0.07 0.06 0.06 0.05 0.04 0.05 0.08 0.03 0.06 0.08 0.08 0.08 0.06 0.04 0.07 0.06 0.07 0.09
 06/02 0.11 0.11 0.09 0.09 0.07 0.11 0.11 0.11 0.11 0.10 0.10 0.08 0.08 0.07 0.05 0.07 0.11 0.05 0.08 0.11 0.10 0.10 0.08 0.06 0.10 0.09 0.10 0.12
 06/03 0.14 0.14 0.12 0.11 0.08 0.14 0.14 0.14 0.13 0.13 0.12 0.11 0.11 0.09 0.07 0.09 0.13 0.06 0.10 0.14 0.13 0.13 0.10 0.07 0.12 0.11 0.13 0.15
 06/04 0.24 0.24 0.20 0.19 0.12 0.23 0.23 0.24 0.23 0.22 0.21 0.19 0.19 0.15 0.12 0.16 0.23 0.10 0.18 0.24 0.23 0.23 0.17 0.13 0.22 0.19 0.21 0.26
 06/05 0.33 0.33 0.28 0.26 0.16 0.32 0.31 0.33 0.32 0.31 0.29 0.26 0.26 0.21 0.17 0.21 0.32 0.14 0.24 0.33 0.31 0.31 0.22 0.19 0.31 0.27 0.29 0.36
 06/06 0.35 0.35 0.30 0.28 0.16 0.34 0.32 0.35 0.33 0.33 0.31 0.28 0.28 0.23 0.18 0.23 0.34 0.15 0.26 0.35 0.33 0.33 0.22 0.20 0.33 0.29 0.31 0.39
 06/07 0.32 0.32 0.27 0.26 0.14 0.31 0.28 0.32 0.30 0.30 0.29 0.26 0.26 0.22 0.17 0.21 0.31 0.14 0.24 0.32 0.30 0.30 0.19 0.19 0.30 0.27 0.28 0.35
 06/08 0.39 0.39 0.33 0.31 0.16 0.38 0.33 0.39 0.37 0.36 0.35 0.32 0.32 0.27 0.21 0.25 0.38 0.17 0.29 0.39 0.37 0.37 0.22 0.23 0.37 0.33 0.35 0.43
 06/09 0.36 0.36 0.31 0.29 0.14 0.35 0.29 0.36 0.34 0.33 0.33 0.30 0.30 0.25 0.20 0.23 0.35 0.16 0.27 0.36 0.34 0.34 0.19 0.22 0.34 0.31 0.32 0.40
 06/10 0.27 0.27 0.23 0.22 0.10 0.26 0.21 0.27 0.25 0.25 0.25 0.23 0.23 0.19 0.15 0.18 0.26 0.12 0.20 0.27 0.25 0.26 0.14 0.17 0.26 0.24 0.24 0.30
 06/11 0.28 0.28 0.24 0.22 0.10 0.27 0.21 0.28 0.26 0.26 0.26 0.24 0.24 0.20 0.16 0.18 0.27 0.12 0.21 0.28 0.26 0.27 0.13 0.18 0.27 0.25 0.25 0.31
 06/12 0.29 0.29 0.25 0.23 0.10 0.28 0.21 0.29 0.27 0.27 0.27 0.25 0.25 0.21 0.17 0.19 0.28 0.13 0.22 0.29 0.27 0.28 0.13 0.19 0.28 0.26 0.26 0.32
 06/13 0.29 0.29 0.25 0.23 0.10 0.28 0.21 0.29 0.27 0.27 0.27 0.25 0.25 0.22 0.18 0.19 0.28 0.13 0.22 0.29 0.26 0.28 0.12 0.19 0.29 0.26 0.26 0.32
 06/14 0.36 0.36 0.31 0.29 0.12 0.35 0.25 0.36 0.33 0.33 0.33 0.31 0.32 0.27 0.22 0.23 0.35 0.16 0.27 0.36 0.33 0.34 0.14 0.23 0.36 0.33 0.32 0.40
 06/15 0.24 0.24 0.20 0.19 0.08 0.23 0.16 0.24 0.22 0.22 0.22 0.21 0.21 0.18 0.15 0.16 0.23 0.11 0.18 0.24 0.22 0.23 0.09 0.16 0.24 0.22 0.21 0.26
 06/16 0.24 0.24 0.20 0.19 0.07 0.23 0.15 0.24 0.22 0.22 0.22 0.21 0.22 0.19 0.15 0.16 0.23 0.11 0.18 0.24 0.22 0.23 0.08 0.16 0.24 0.22 0.21 0.26
 06/17 0.31 0.31 0.26 0.25 0.09 0.30 0.19 0.30 0.28 0.29 0.29 0.28 0.28 0.25 0.20 0.20 0.30 0.14 0.23 0.31 0.28 0.29 0.10 0.20 0.31 0.29 0.27 0.34
 06/18 0.28 0.28 0.24 0.22 0.08 0.27 0.17 0.27 0.25 0.26 0.26 0.25 0.26 0.22 0.19 0.18 0.27 0.13 0.21 0.28 0.25 0.27 0.08 0.18 0.28 0.26 0.25 0.31
 06/19 0.25 0.25 0.21 0.20 0.07 0.24 0.14 0.24 0.22 0.23 0.23 0.23 0.23 0.20 0.17 0.16 0.25 0.12 0.19 0.25 0.22 0.24 0.07 0.16 0.25 0.24 0.22 0.28
 06/20 0.40 0.40 0.34 0.32 0.12 0.38 0.22 0.38 0.36 0.37 0.37 0.36 0.38 0.33 0.28 0.26 0.39 0.19 0.31 0.40 0.35 0.38 0.10 0.26 0.40 0.38 0.35 0.44
